,zone,gross_revenue,net_revenue,throughput_mwh,cycles,eur_per_kw_yr
0,NO1,2382905.1725953845,2382905.1725953845,139640.87660284998,349.1021915071249,47.65810345190769
1,NO2,2315052.294300988,2315052.294300988,118600.1852353,296.50046308825,46.30104588601976
2,NO5,1374783.2698599296,1374783.2698599296,117698.53707975,294.246342699375,27.495665397198593
3,NO3,1109011.2278332184,1109011.2278332184,179251.9445012,448.129861253,22.180224556664367
4,NO4,586867.635976508,586867.635976508,167120.4753564,417.80118839100004,11.737352719530161
