,zone,rolling_revenue,pf_revenue,penalty_pct,eur_per_kw_yr
0,NO1,2379693.2898644255,2382905.1725953845,0.13478852486021098,47.59386579728851
1,NO2,2309664.3987278333,2315052.294300988,0.23273321239516065,46.19328797455667
2,NO5,1369042.0489653088,1374783.2698599296,0.41760916214856914,27.380840979306175
3,NO3,1107774.8044652257,1109011.2278332184,0.11148880524938065,22.155496089304513
4,NO4,586585.2402575447,586867.635976508,0.04811915015444049,11.731704805150894
